AAL
AAPL
ADBE
ADI
ADP
ADSK
AKAM
ALTR
ALXN
AMAT
AMGN
AMZN
ATVI
AVGO
BBBY
BIDU
BIIB
BRCM
CA
CELG
CERN
CHKP
CHRW
CHTR
CMCSA
COST
CSCO
CTRX
CTSH
CTXS
DISCA
DISH
DLTR
DTV
EA
EBAY
EQIX
ESRX
EXPD
FAST
FB
FISV
FOX
GILD
GMCR
GOOG
GRMN
HSIC
ILMN
INTC
INTU
ISRG
KLAC
KRFT
LBTYA
LLTC
LMCA
LRCX
MAR
MAT
MDLZ
MNST
MSFT
MU
MYL
NFLX
NTAP
NVDA
NXPI
ORLY
PAYX
PCAR
PCLN
QCOM
QVCA
REGN
ROST
SBAC
SBUX
SIAL
SIRI
SNDK
SPLS
SRCL
STX
SYMC
TRIP
TSCO
TSLA
TXN
VIAB
VIP
VOD
VRSK
VRTX
WDC
WFM
WYNN
XLNX
YHOO
